;Setname;Set;Main;Second
0;Deutsche Nationalbibliografie (DNB);dnb;Deutsche Nationalbibliografie (DNB);Deutsche Nationalbibliografie (DNB)
1;Deutsche Nationalbibliografie (DNB) - Allgemeines, Informationswissenschaft;dnb:sg0;Deutsche Nationalbibliografie (DNB);Allgemeines, Informationswissenschaft
2;Deutsche Nationalbibliografie (DNB) - Allgemeines, Wissenschaft;dnb:sg000;Deutsche Nationalbibliografie (DNB);Allgemeines, Wissenschaft
3;Deutsche Nationalbibliografie (DNB) - Informatik;dnb:sg004;Deutsche Nationalbibliografie (DNB);Informatik
4;Deutsche Nationalbibliografie (DNB) - Bibliografien;dnb:sg010;Deutsche Nationalbibliografie (DNB);Bibliografien
5;Deutsche Nationalbibliografie (DNB) - Bibliotheks- und Informationswissenschaft;dnb:sg020;Deutsche Nationalbibliografie (DNB);Bibliotheks- und Informationswissenschaft
6;Deutsche Nationalbibliografie (DNB) - EnzyklopÑdien;dnb:sg030;Deutsche Nationalbibliografie (DNB);EnzyklopÑdien
7;Deutsche Nationalbibliografie (DNB) - Zeitschriften, fortlaufende Sammelwerke;dnb:sg050;Deutsche Nationalbibliografie (DNB);Zeitschriften, fortlaufende Sammelwerke
8;Deutsche Nationalbibliografie (DNB) - Organisationen, Museumswissenschaft;dnb:sg060;Deutsche Nationalbibliografie (DNB);Organisationen, Museumswissenschaft
9;Deutsche Nationalbibliografie (DNB) - Nachrichtenmedien, Journalismus, Verlagswesen;dnb:sg070;Deutsche Nationalbibliografie (DNB);Nachrichtenmedien, Journalismus, Verlagswesen
10;Deutsche Nationalbibliografie (DNB) - Allgemeine Sammelwerke;dnb:sg080;Deutsche Nationalbibliografie (DNB);Allgemeine Sammelwerke
11;Deutsche Nationalbibliografie (DNB) - Handschriften, seltene BÅcher;dnb:sg090;Deutsche Nationalbibliografie (DNB);Handschriften, seltene BÅcher
12;Deutsche Nationalbibliografie (DNB) - Philosphie und Psychologie;dnb:sg1;Deutsche Nationalbibliografie (DNB);Philosphie und Psychologie
13;Deutsche Nationalbibliografie (DNB) - Philosophie;dnb:sg100;Deutsche Nationalbibliografie (DNB);Philosophie
14;Deutsche Nationalbibliografie (DNB) - Parapsychologie, Okkultismus;dnb:sg130;Deutsche Nationalbibliografie (DNB);Parapsychologie, Okkultismus
15;Deutsche Nationalbibliografie (DNB) - Psychologie;dnb:sg150;Deutsche Nationalbibliografie (DNB);Psychologie
16;Deutsche Nationalbibliografie (DNB) - Religion;dnb:sg2;Deutsche Nationalbibliografie (DNB);Religion
17;Deutsche Nationalbibliografie (DNB) - Religion, Religionsphilosophie;dnb:sg200;Deutsche Nationalbibliografie (DNB);Religion, Religionsphilosophie
18;Deutsche Nationalbibliografie (DNB) - Bibel;dnb:sg220;Deutsche Nationalbibliografie (DNB);Bibel
19;Deutsche Nationalbibliografie (DNB) - Theologie, Christentum;dnb:sg230;Deutsche Nationalbibliografie (DNB);Theologie, Christentum
20;Deutsche Nationalbibliografie (DNB) - Andere Religionen;dnb:sg290;Deutsche Nationalbibliografie (DNB);Andere Religionen
21;Deutsche Nationalbibliografie (DNB) - Sozialwissenschaften;dnb:sg3;Deutsche Nationalbibliografie (DNB);Sozialwissenschaften
22;Deutsche Nationalbibliografie (DNB) - Sozialwissenschaften, Soziologie;dnb:sg300;Deutsche Nationalbibliografie (DNB);Sozialwissenschaften, Soziologie
23;Deutsche Nationalbibliografie (DNB) - Statistik;dnb:sg310;Deutsche Nationalbibliografie (DNB);Statistik
24;Deutsche Nationalbibliografie (DNB) - Politik;dnb:sg320;Deutsche Nationalbibliografie (DNB);Politik
25;Deutsche Nationalbibliografie (DNB) - Wirtschaft, Management;dnb:sg330;Deutsche Nationalbibliografie (DNB);Wirtschaft, Management
26;Deutsche Nationalbibliografie (DNB) - NatÅrliche Ressourcen, Energie und Umwelt;dnb:sg333.7;Deutsche Nationalbibliografie (DNB);NatÅrliche Ressourcen, Energie und Umwelt
27;Deutsche Nationalbibliografie (DNB) - Recht;dnb:sg340;Deutsche Nationalbibliografie (DNB);Recht
28;Deutsche Nationalbibliografie (DNB) - ôffentliche Verwaltung;dnb:sg350;Deutsche Nationalbibliografie (DNB);ôffentliche Verwaltung
29;Deutsche Nationalbibliografie (DNB) - MilitÑr;dnb:sg355;Deutsche Nationalbibliografie (DNB);MilitÑr
30;Deutsche Nationalbibliografie (DNB) - Soziale Probleme, Sozialarbeit;dnb:sg360;Deutsche Nationalbibliografie (DNB);Soziale Probleme, Sozialarbeit
31;Deutsche Nationalbibliografie (DNB) - Erziehung, Schul- und Bildungswesen;dnb:sg370;Deutsche Nationalbibliografie (DNB);Erziehung, Schul- und Bildungswesen
32;Deutsche Nationalbibliografie (DNB) - Handel, Kommunikation, Verkehr;dnb:sg380;Deutsche Nationalbibliografie (DNB);Handel, Kommunikation, Verkehr
33;Deutsche Nationalbibliografie (DNB) - Ethnologie;dnb:sg390;Deutsche Nationalbibliografie (DNB);Ethnologie
34;Deutsche Nationalbibliografie (DNB) - Literatur und Sprache;dnb:sg4;Deutsche Nationalbibliografie (DNB);Literatur und Sprache
35;Deutsche Nationalbibliografie (DNB) - Sprache, Linguistik;dnb:sg400;Deutsche Nationalbibliografie (DNB);Sprache, Linguistik
36;Deutsche Nationalbibliografie (DNB) - Englisch;dnb:sg420;Deutsche Nationalbibliografie (DNB);Englisch
37;Deutsche Nationalbibliografie (DNB) - Deutsch;dnb:sg430;Deutsche Nationalbibliografie (DNB);Deutsch
38;Deutsche Nationalbibliografie (DNB) - Andere germanische Sprachen;dnb:sg439;Deutsche Nationalbibliografie (DNB);Andere germanische Sprachen
39;Deutsche Nationalbibliografie (DNB) - Franzîsisch, romanische Sprachen allgemein;dnb:sg440;Deutsche Nationalbibliografie (DNB);Franzîsisch, romanische Sprachen allgemein
40;Deutsche Nationalbibliografie (DNB) - Italienisch, RumÑnisch, RÑtoromanisch;dnb:sg450;Deutsche Nationalbibliografie (DNB);Italienisch, RumÑnisch, RÑtoromanisch
41;Deutsche Nationalbibliografie (DNB) - Spanisch, Portugiesisch;dnb:sg460;Deutsche Nationalbibliografie (DNB);Spanisch, Portugiesisch
42;Deutsche Nationalbibliografie (DNB) - Latein;dnb:sg470;Deutsche Nationalbibliografie (DNB);Latein
43;Deutsche Nationalbibliografie (DNB) - Griechisch;dnb:sg480;Deutsche Nationalbibliografie (DNB);Griechisch
44;Deutsche Nationalbibliografie (DNB) - Andere Sprachen;dnb:sg490;Deutsche Nationalbibliografie (DNB);Andere Sprachen
45;Deutsche Nationalbibliografie (DNB) - Slawische Sprachen;dnb:sg491.8;Deutsche Nationalbibliografie (DNB);Slawische Sprachen
46;Deutsche Nationalbibliografie (DNB) - Naturwissenschaften und Mathematik;dnb:sg5;Deutsche Nationalbibliografie (DNB);Naturwissenschaften und Mathematik
47;Deutsche Nationalbibliografie (DNB) - Naturwissenschaften;dnb:sg500;Deutsche Nationalbibliografie (DNB);Naturwissenschaften
48;Deutsche Nationalbibliografie (DNB) - Mathematik;dnb:sg510;Deutsche Nationalbibliografie (DNB);Mathematik
49;Deutsche Nationalbibliografie (DNB) - Astronomie, Kartographie;dnb:sg520;Deutsche Nationalbibliografie (DNB);Astronomie, Kartographie
50;Deutsche Nationalbibliografie (DNB) - Physik;dnb:sg530;Deutsche Nationalbibliografie (DNB);Physik
51;Deutsche Nationalbibliografie (DNB) - Chemie;dnb:sg540;Deutsche Nationalbibliografie (DNB);Chemie
52;Deutsche Nationalbibliografie (DNB) - Geowissenschaften;dnb:sg550;Deutsche Nationalbibliografie (DNB);Geowissenschaften
53;Deutsche Nationalbibliografie (DNB) - PalÑontologie;dnb:sg560;Deutsche Nationalbibliografie (DNB);PalÑontologie
54;Deutsche Nationalbibliografie (DNB) - Biowissenschaften, Biologie;dnb:sg570;Deutsche Nationalbibliografie (DNB);Biowissenschaften, Biologie
55;Deutsche Nationalbibliografie (DNB) - Pflanzen (Botanik);dnb:sg580;Deutsche Nationalbibliografie (DNB);Pflanzen (Botanik)
56;Deutsche Nationalbibliografie (DNB) - Tiere (Zoologie);dnb:sg590;Deutsche Nationalbibliografie (DNB);Tiere (Zoologie)
57;Deutsche Nationalbibliografie (DNB) - Technik, Medizin, angewandte Wissenschaften;dnb:sg6;Deutsche Nationalbibliografie (DNB);Technik, Medizin, angewandte Wissenschaften
58;Deutsche Nationalbibliografie (DNB) - Technik;dnb:sg600;Deutsche Nationalbibliografie (DNB);Technik
59;Deutsche Nationalbibliografie (DNB) - Medizin, Gesundheit;dnb:sg610;Deutsche Nationalbibliografie (DNB);Medizin, Gesundheit
60;Deutsche Nationalbibliografie (DNB) - Ingenieurwissenschaften;dnb:sg620;Deutsche Nationalbibliografie (DNB);Ingenieurwissenschaften
61;Deutsche Nationalbibliografie (DNB) - Elektrotechnik, Elektronik;dnb:sg621.3;Deutsche Nationalbibliografie (DNB);Elektrotechnik, Elektronik
62;Deutsche Nationalbibliografie (DNB) - Ingenieurbau und Umwelttechnik;dnb:sg624;Deutsche Nationalbibliografie (DNB);Ingenieurbau und Umwelttechnik
63;Deutsche Nationalbibliografie (DNB) - Landwirtschaft, VeterinÑrmedizin;dnb:sg630;Deutsche Nationalbibliografie (DNB);Landwirtschaft, VeterinÑrmedizin
64;Deutsche Nationalbibliografie (DNB) - Hauswirtschaft;dnb:sg640;Deutsche Nationalbibliografie (DNB);Hauswirtschaft
65;Deutsche Nationalbibliografie (DNB) - Management;dnb:sg650;Deutsche Nationalbibliografie (DNB);Management
66;Deutsche Nationalbibliografie (DNB) - Technische Chemie;dnb:sg660;Deutsche Nationalbibliografie (DNB);Technische Chemie
67;Deutsche Nationalbibliografie (DNB) - Industrielle Fertigung;dnb:sg670;Deutsche Nationalbibliografie (DNB);Industrielle Fertigung
68;Deutsche Nationalbibliografie (DNB) - Hausbau, Bauhandwerk;dnb:sg690;Deutsche Nationalbibliografie (DNB);Hausbau, Bauhandwerk
69;Deutsche Nationalbibliografie (DNB) - KÅnste und Unterhaltung;dnb:sg7;Deutsche Nationalbibliografie (DNB);KÅnste und Unterhaltung
70;Deutsche Nationalbibliografie (DNB) - KÅnste, Bildende Kunst allgemein;dnb:sg700;Deutsche Nationalbibliografie (DNB);KÅnste, Bildende Kunst allgemein
71;Deutsche Nationalbibliografie (DNB) - Landschaftsgestaltung, Raumplanung;dnb:sg710;Deutsche Nationalbibliografie (DNB);Landschaftsgestaltung, Raumplanung
72;Deutsche Nationalbibliografie (DNB) - Architektur;dnb:sg720;Deutsche Nationalbibliografie (DNB);Architektur
73;Deutsche Nationalbibliografie (DNB) - Plastik, Numismatik, Keramik, Metallkunst;dnb:sg730;Deutsche Nationalbibliografie (DNB);Plastik, Numismatik, Keramik, Metallkunst
74;Deutsche Nationalbibliografie (DNB) - Zeichnung, Kunsthandwerk;dnb:sg740;Deutsche Nationalbibliografie (DNB);Zeichnung, Kunsthandwerk
75;Deutsche Nationalbibliografie (DNB) - Comics, Cartoon, Karikaturen;dnb:sg741.5;Deutsche Nationalbibliografie (DNB);Comics, Cartoon, Karikaturen
76;Deutsche Nationalbibliografie (DNB) - Malerei;dnb:sg750;Deutsche Nationalbibliografie (DNB);Malerei
77;Deutsche Nationalbibliografie (DNB) - Grafische Verfahren, Drucke;dnb:sg760;Deutsche Nationalbibliografie (DNB);Grafische Verfahren, Drucke
78;Deutsche Nationalbibliografie (DNB) - Fotografie, Computerkunst;dnb:sg770;Deutsche Nationalbibliografie (DNB);Fotografie, Computerkunst
79;Deutsche Nationalbibliografie (DNB) - Musik;dnb:sg780;Deutsche Nationalbibliografie (DNB);Musik
80;Deutsche Nationalbibliografie (DNB) - Freizeitgestaltung, Darstellende Kunst;dnb:sg790;Deutsche Nationalbibliografie (DNB);Freizeitgestaltung, Darstellende Kunst
81;Deutsche Nationalbibliografie (DNB) - ôffentliche Darbietungen, Film, Rundfunk;dnb:sg791;Deutsche Nationalbibliografie (DNB);ôffentliche Darbietungen, Film, Rundfunk
82;Deutsche Nationalbibliografie (DNB) - Theater, Tanz;dnb:sg792;Deutsche Nationalbibliografie (DNB);Theater, Tanz
83;Deutsche Nationalbibliografie (DNB) - Spiel;dnb:sg793;Deutsche Nationalbibliografie (DNB);Spiel
84;Deutsche Nationalbibliografie (DNB) - Sport;dnb:sg796;Deutsche Nationalbibliografie (DNB);Sport
85;Deutsche Nationalbibliografie (DNB) - Literatur;dnb:sg8;Deutsche Nationalbibliografie (DNB);Literatur
86;Deutsche Nationalbibliografie (DNB) - Literatur, Rhetorik, Literaturwissenschaft;dnb:sg800;Deutsche Nationalbibliografie (DNB);Literatur, Rhetorik, Literaturwissenschaft
87;Deutsche Nationalbibliografie (DNB) - Englische Literatur Amerikas;dnb:sg810;Deutsche Nationalbibliografie (DNB);Englische Literatur Amerikas
88;Deutsche Nationalbibliografie (DNB) - Englische Literatur;dnb:sg820;Deutsche Nationalbibliografie (DNB);Englische Literatur
89;Deutsche Nationalbibliografie (DNB) - Deutsche Literatur;dnb:sg830;Deutsche Nationalbibliografie (DNB);Deutsche Literatur
90;Deutsche Nationalbibliografie (DNB) - Literatur in anderen germanischen Sprachen;dnb:sg839;Deutsche Nationalbibliografie (DNB);Literatur in anderen germanischen Sprachen
91;Deutsche Nationalbibliografie (DNB) - Franzîsische Literatur;dnb:sg840;Deutsche Nationalbibliografie (DNB);Franzîsische Literatur
92;Deutsche Nationalbibliografie (DNB) - Italienische, rumÑnische, rÑtoromanische Literatur;dnb:sg850;Deutsche Nationalbibliografie (DNB);Italienische, rumÑnische, rÑtoromanische Literatur
93;Deutsche Nationalbibliografie (DNB) - Spanische und portugiesische Literatur;dnb:sg860;Deutsche Nationalbibliografie (DNB);Spanische und portugiesische Literatur
94;Deutsche Nationalbibliografie (DNB) - Lateinische Literatur;dnb:sg870;Deutsche Nationalbibliografie (DNB);Lateinische Literatur
95;Deutsche Nationalbibliografie (DNB) - Griechische Literatur;dnb:sg880;Deutsche Nationalbibliografie (DNB);Griechische Literatur
96;Deutsche Nationalbibliografie (DNB) - Literatur in anderen Sprachen;dnb:sg890;Deutsche Nationalbibliografie (DNB);Literatur in anderen Sprachen
97;Deutsche Nationalbibliografie (DNB) - Slawische Literatur;dnb:sg891.8;Deutsche Nationalbibliografie (DNB);Slawische Literatur
98;Deutsche Nationalbibliografie (DNB) - Geschichte und Geografie;dnb:sg9;Deutsche Nationalbibliografie (DNB);Geschichte und Geografie
99;Deutsche Nationalbibliografie (DNB) - Geschichte;dnb:sg900;Deutsche Nationalbibliografie (DNB);Geschichte
100;Deutsche Nationalbibliografie (DNB) - Geografie, Reisen;dnb:sg910;Deutsche Nationalbibliografie (DNB);Geografie, Reisen
101;Deutsche Nationalbibliografie (DNB) - Geografie, Reisen (Deutschland);dnb:sg914.3;Deutsche Nationalbibliografie (DNB);Geografie, Reisen (Deutschland)
102;Deutsche Nationalbibliografie (DNB) - Biografie, Genealogie, Heraldik;dnb:sg920;Deutsche Nationalbibliografie (DNB);Biografie, Genealogie, Heraldik
103;Deutsche Nationalbibliografie (DNB) - Alte Geschichte, ArchÑologie;dnb:sg930;Deutsche Nationalbibliografie (DNB);Alte Geschichte, ArchÑologie
104;Deutsche Nationalbibliografie (DNB) - Geschichte Europas;dnb:sg940;Deutsche Nationalbibliografie (DNB);Geschichte Europas
105;Deutsche Nationalbibliografie (DNB) - Geschichte Deutschlands;dnb:sg943;Deutsche Nationalbibliografie (DNB);Geschichte Deutschlands
106;Deutsche Nationalbibliografie (DNB) - Geschichte Asiens;dnb:sg950;Deutsche Nationalbibliografie (DNB);Geschichte Asiens
107;Deutsche Nationalbibliografie (DNB) - Geschichte Afrikas;dnb:sg960;Deutsche Nationalbibliografie (DNB);Geschichte Afrikas
108;Deutsche Nationalbibliografie (DNB) - Geschichte Nordamerikas;dnb:sg970;Deutsche Nationalbibliografie (DNB);Geschichte Nordamerikas
109;Deutsche Nationalbibliografie (DNB) - Geschichte SÅdamerikas;dnb:sg980;Deutsche Nationalbibliografie (DNB);Geschichte SÅdamerikas
110;Deutsche Nationalbibliografie (DNB) - Geschichte der Åbrigen Welt;dnb:sg990;Deutsche Nationalbibliografie (DNB);Geschichte der Åbrigen Welt
111;Deutsche Nationalbibliografie (DNB) - Belletristik;dnb:sgB;Deutsche Nationalbibliografie (DNB);Belletristik
112;Deutsche Nationalbibliografie (DNB) - Kinder- und Jugendliteratur;dnb:sgK;Deutsche Nationalbibliografie (DNB);Kinder- und Jugendliteratur
113;Deutsche Nationalbibliografie (DNB) - SchulbÅcher;dnb:sgS;Deutsche Nationalbibliografie (DNB);SchulbÅcher
114;Deutsche Nationalbibliografie (DNB) - Abgeschlossene Verîffentlichungen;dnb:sgY;Deutsche Nationalbibliografie (DNB);Abgeschlossene Verîffentlichungen
115;Deutsche Nationalbibliografie (DNB) - Berichtigungen;dnb:sgZ;Deutsche Nationalbibliografie (DNB);Berichtigungen
116;Deutsche Nationalbibliografie (DNB) - BestandssÑtze;dnb:holdings;Deutsche Nationalbibliografie (DNB);BestandssÑtze
117;Deutsche Nationalbibliografie (DNB);dnb-appr;Deutsche Nationalbibliografie (DNB);Deutsche Nationalbibliografie (DNB)
118;Deutsche Nationalbibliografie (DNB) - Allgemeines, Informationswissenschaft;dnb-appr:sg0;Deutsche Nationalbibliografie (DNB);Allgemeines, Informationswissenschaft
119;Deutsche Nationalbibliografie (DNB) - Allgemeines, Wissenschaft;dnb-appr:sg000;Deutsche Nationalbibliografie (DNB);Allgemeines, Wissenschaft
120;Deutsche Nationalbibliografie (DNB) - Informatik;dnb-appr:sg004;Deutsche Nationalbibliografie (DNB);Informatik
121;Deutsche Nationalbibliografie (DNB) - Bibliografien;dnb-appr:sg010;Deutsche Nationalbibliografie (DNB);Bibliografien
122;Deutsche Nationalbibliografie (DNB) - Bibliotheks- und Informationswissenschaft;dnb-appr:sg020;Deutsche Nationalbibliografie (DNB);Bibliotheks- und Informationswissenschaft
123;Deutsche Nationalbibliografie (DNB) - EnzyklopÑdien;dnb-appr:sg030;Deutsche Nationalbibliografie (DNB);EnzyklopÑdien
124;Deutsche Nationalbibliografie (DNB) - Zeitschriften, fortlaufende Sammelwerke;dnb-appr:sg050;Deutsche Nationalbibliografie (DNB);Zeitschriften, fortlaufende Sammelwerke
125;Deutsche Nationalbibliografie (DNB) - Organisationen, Museumswissenschaft;dnb-appr:sg060;Deutsche Nationalbibliografie (DNB);Organisationen, Museumswissenschaft
126;Deutsche Nationalbibliografie (DNB) - Nachrichtenmedien, Journalismus, Verlagswesen;dnb-appr:sg070;Deutsche Nationalbibliografie (DNB);Nachrichtenmedien, Journalismus, Verlagswesen
127;Deutsche Nationalbibliografie (DNB) - Allgemeine Sammelwerke;dnb-appr:sg080;Deutsche Nationalbibliografie (DNB);Allgemeine Sammelwerke
128;Deutsche Nationalbibliografie (DNB) - Handschriften, seltene BÅcher;dnb-appr:sg090;Deutsche Nationalbibliografie (DNB);Handschriften, seltene BÅcher
129;Deutsche Nationalbibliografie (DNB) - Philosphie und Psychologie;dnb-appr:sg1;Deutsche Nationalbibliografie (DNB);Philosphie und Psychologie
130;Deutsche Nationalbibliografie (DNB) - Philosophie;dnb-appr:sg100;Deutsche Nationalbibliografie (DNB);Philosophie
131;Deutsche Nationalbibliografie (DNB) - Parapsychologie, Okkultismus;dnb-appr:sg130;Deutsche Nationalbibliografie (DNB);Parapsychologie, Okkultismus
